In 1;In 2;In 3;In 4;In 5;In 6;In 7;In 8;Out 1;Out 2;Out 3;Out 4
19;24;82;121;75;29;21;16;0;0;1;0
5;5;27;102;55;7;2;1;0;0;1;0
19;47;89;127;60;25;18;14;0;0;1;0
5;11;102;26;23;3;1;1;0;0;1;0
1;12;83;121;20;12;3;0;0;0;1;0
11;15;65;101;34;12;7;8;0;0;1;0
7;17;64;117;22;8;5;3;0;0;1;0
19;31;61;111;62;27;19;15;0;0;1;0
0;13;103;118;10;4;3;4;0;0;1;0
22;35;101;71;54;21;11;12;0;0;1;0
17;43;94;116;46;9;9;10;0;0;1;0
41;76;102;127;58;40;27;27;0;0;1;0
16;17;54;101;34;18;13;19;0;0;1;0
19;21;103;54;47;22;18;18;0;0;1;0
3;28;76;127;15;9;5;4;0;0;1;0
23;17;108;29;1;1;1;3;0;0;1;0
16;44;124;127;74;32;16;10;0;0;1;0
27;42;96;127;85;42;29;20;0;0;1;0
10;23;91;108;54;29;13;8;0;0;1;0
22;46;104;117;53;30;16;13;0;0;1;0
2;8;76;105;3;4;3;2;0;0;1;0
17;47;127;26;41;23;14;9;0;0;1;0
9;15;58;126;23;2;5;5;0;0;1;0
7;11;36;112;21;6;6;5;0;0;1;0
4;26;102;57;17;5;1;3;0;0;1;0
20;41;110;127;31;5;10;10;0;0;1;0
15;23;44;103;45;26;15;11;0;0;1;0
5;13;53;125;24;5;0;2;0;0;1;0
67;27;3;1;1;9;109;19;0;1;0;0
26;8;4;2;2;9;102;1;0;1;0;0
11;13;10;8;5;17;127;82;0;1;0;0
38;5;11;4;2;5;105;5;0;1;0;0
37;60;5;2;3;6;102;58;0;1;0;0
19;4;7;1;5;20;105;73;0;1;0;0
32;8;0;0;0;20;104;5;0;1;0;0
37;4;5;5;8;16;111;37;0;1;0;0
56;1;7;1;2;3;127;40;0;1;0;0
39;7;4;0;6;31;107;47;0;1;0;0
68;4;4;0;7;12;108;25;0;1;0;0
45;12;5;0;1;7;113;3;0;1;0;0
45;5;5;0;0;3;114;38;0;1;0;0
